Date,Product,Category,Region,Sales,Quantity,Profit
2026-01-05,Laptop,Electronics,North,85000,5,12000
2026-01-07,Phone,Electronics,South,60000,10,9000
2026-01-10,Headphones,Accessories,East,15000,25,4500
2026-01-12,Monitor,Electronics,West,42000,7,7000
2026-01-15,Keyboard,Accessories,North,12000,20,3500
2026-01-18,Laptop,Electronics,South,102000,6,15000
2026-01-20,Mouse,Accessories,East,8000,20,2400
2026-01-23,Phone,Electronics,West,72000,12,11000
2026-01-25,Monitor,Electronics,North,36000,6,6000
2026-01-28,Headphones,Accessories,South,18000,30,5500
2026-02-02,Laptop,Electronics,East,119000,7,18000
2026-02-05,Phone,Electronics,North,54000,9,8000
2026-02-08,Keyboard,Accessories,West,15000,25,4200
2026-02-11,Mouse,Accessories,South,10000,25,3000
2026-02-14,Monitor,Electronics,East,48000,8,8500
2026-02-17,Laptop,Electronics,West,136000,8,21000
2026-02-20,Phone,Electronics,South,66000,11,10000
2026-02-23,Headphones,Accessories,North,21000,35,6500
2026-02-25,Keyboard,Accessories,East,18000,30,5000
2026-02-28,Mouse,Accessories,West,9000,22,2700
2026-03-03,Laptop,Electronics,North,153000,9,24000
2026-03-06,Phone,Electronics,East,78000,13,12000
2026-03-09,Monitor,Electronics,South,54000,9,9500
2026-03-12,Headphones,Accessories,West,24000,40,7200
2026-03-15,Keyboard,Accessories,North,21000,35,6000
